Period,$,Product,Production_Unit,Cost_Element
Feb-15,"420,821 ",6231,3 ,56
Mar-15,"525,648 ",6231,3 ,56
Apr-15,"549,735 ",6231,3 ,56
May-15,"481,939 ",6231,3 ,56
Jun-15,"408,604 ",6231,3 ,56
Jul-15,"493,625 ",6231,3 ,56
Aug-15,"596,545 ",6231,3 ,56
Sep-15,"620,107 ",6231,3 ,56
Oct-15,"539,675 ",6231,3 ,56
Nov-15,"584,379 ",6231,3 ,56
Dec-15,"511,260 ",6231,3 ,56
Jan-16,"639,685 ",6231,3 ,56
Feb-16,"578,322 ",6231,3 ,56
Mar-16,"616,126 ",6231,3 ,56
Apr-16,"497,997 ",6231,3 ,56
May-16,"531,116 ",6231,3 ,56
Jun-16,"397,367 ",6231,3 ,56
Jul-16,"526,246 ",6231,3 ,56
Aug-16,"571,606 ",6231,3 ,56
Sep-16,"501,912 ",6231,3 ,56
Oct-16,"510,955 ",6231,3 ,56
Nov-16,"392,593 ",6231,3 ,56
Dec-16,"433,631 ",6231,3 ,56
Jan-17,"614,089 ",6231,3 ,56
Feb-17,"527,776 ",6231,3 ,56
Mar-17,"563,846 ",6231,3 ,56
Apr-17,"643,005 ",6231,3 ,56
May-17,"559,580 ",6231,3 ,56
Jun-17,"479,261 ",6231,3 ,56
Jul-17,"404,911 ",6231,3 ,56
Aug-17,"604,541 ",6231,3 ,56
Sep-17,"430,984 ",6231,3 ,56
Oct-17,"455,763 ",6231,3 ,56
Nov-17,"480,630 ",6231,3 ,56
Dec-17,"553,183 ",6231,3 ,56
