Period,Production_Volume,Product,Production_Unit,Cost_Element
Feb-15,"25,157 ",6231,3 ,56
Mar-15,"29,344 ",6231,3 ,56
Apr-15,"26,709 ",6231,3 ,56
May-15,"28,824 ",6231,3 ,56
Jun-15,"18,812 ",6231,3 ,56
Jul-15,"27,084 ",6231,3 ,56
Aug-15,"29,050 ",6231,3 ,56
Sep-15,"26,704 ",6231,3 ,56
Oct-15,"27,010 ",6231,3 ,56
Nov-15,"26,231 ",6231,3 ,56
Dec-15,"24,453 ",6231,3 ,56
Jan-16,"25,756 ",6231,3 ,56
Feb-16,"24,410 ",6231,3 ,56
Mar-16,"24,746 ",6231,3 ,56
Apr-16,"22,121 ",6231,3 ,56
May-16,"22,862 ",6231,3 ,56
Jun-16,"19,054 ",6231,3 ,56
Jul-16,"24,738 ",6231,3 ,56
Aug-16,"26,456 ",6231,3 ,56
Sep-16,"26,545 ",6231,3 ,56
Oct-16,"26,670 ",6231,3 ,56
Nov-16,"22,544 ",6231,3 ,56
Dec-16,"23,181 ",6231,3 ,56
Jan-17,"25,400 ",6231,3 ,56
Feb-17,"24,165 ",6231,3 ,56
Mar-17,"26,472 ",6231,3 ,56
Apr-17,"26,485 ",6231,3 ,56
May-17,"27,079 ",6231,3 ,56
Jun-17,"23,339 ",6231,3 ,56
Jul-17,"19,149 ",6231,3 ,56
Aug-17,"28,050 ",6231,3 ,56
Sep-17,"22,152 ",6231,3 ,56
Oct-17,"23,536 ",6231,3 ,56
Nov-17,"24,615 ",6231,3 ,56
Dec-17,"25,711 ",6231,3 ,56
